LP_Folder,LP_Catalog,LP_Title,Side,Track_No,Track_Title,Track_Year,Match_Status,Disc_Date,Disc_Title,Disc_AltTitle,Singer,Master,Matrix,Note
Armenonville,AVL-3989,Armenonville,A,1,Retintín,1969,matched,10/20/1969,Retintín,,Instrumental,Tape-S,9566,
Armenonville,AVL-3989,Armenonville,A,2,Dulce Novia,1969,matched,8/1/1969,Dulce Novia,,Osvaldo Ramos,Tape-S,9175,
Armenonville,AVL-3989,Armenonville,A,3,Catamarca,1969,matched,10/20/1969,Catamarca,Estocada a Fondo,Instrumental,Tape-S,9565,
Armenonville,AVL-3989,Armenonville,A,4,Requiem Para Una Luca,1970,matched,8/13/1970,Réquiem Para una Luca,,Armando Laborde,Tape-S,10502,
Armenonville,AVL-3989,Armenonville,A,5,Armenonville,1970,matched,8/21/1970,Armenonville,,Instrumental,Tape-S,10516,
Armenonville,AVL-3989,Armenonville,B,1,Falso,1969,matched,10/20/1969,Falso,,Osvaldo Ramos,Tape-S,9571,
Armenonville,AVL-3989,Armenonville,B,2,Porteñísimo,1970,matched_variant,8/13/1970,Porteñismo,,Instrumental,Tape-S,10500,fuzzy 0.95 of 'Porteñismo'
Armenonville,AVL-3989,Armenonville,B,3,Dos Dedos,1970,matched,9/15/1970,Dos Dedos,,Alberto Echagüe,Tape-S,10555,
Armenonville,AVL-3989,Armenonville,B,4,Recuerdo La Casa,1970,matched_variant,8/13/1970,Recuerdo de la Casa,,Osvaldo Ramos,Tape-S,10503,fuzzy 0.91 of 'Recuerdo de la Casa'
Armenonville,AVL-3989,Armenonville,B,5,El Pimpollo,1969,matched,10/20/1969,El Pimpollo,,Armando Laborde,Tape-S,9576,
Armenonville,AVL-3989,Armenonville,B,6,El Africano,1969,matched,8/1/1969,El Africano,,Instrumental,Tape-S,9179,
Armenonville,AVL-3989,Armenonville,B,7,Senda Florida,1970,matched,8/21/1970,Senda Florida,,Osvaldo Ramos,Tape-S,10518,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,1,Rio Bamba,1975,matched,1/30/1975,Rio Bamba,,Instrumental,Tape-S,16815,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,2,Bailarín Compadrito,1973,matched,12/14/1973,Bailarín Compadrito,,Armando Laborde,Tape-S,15316,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,3,Para Vos Querida Pebeta,1975,matched_variant,1/30/1975,Para Vos Mi Querida Pebeta,,Osvaldo Ramos,Tape-S,16808,fuzzy 0.94 of 'Para Vos Mi Querida Pebeta'
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,4,El 13,1969,matched,10/20/1969,El Trece,El 13,Instrumental,Tape-S,9569,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,5,Tremolina,1970,matched,12/16/1970,Tremolina,,Instrumental,Tape-S,11127,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,6,Tuve Que Llorar,1970,matched,12/16/1970,Tuve Que Llorar,,Osvaldo Ramos,Tape-S,11130,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,1,Tengo Miedo,1970,matched,9/15/1970,Tengo Miedo,,Alberto Echagüe,Tape-S,10550,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,2,Siempre Primero,1970,matched,12/16/1970,Siempre Primero,,Instrumental,Tape-S,11134,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,3,El Látigo,1970,matched,9/15/1970,El Látigo,,Instrumental,Tape-S,,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,4,Madame Julie,1971,matched,11/26/1971,Madame Julié,,Armando Laborde,Tape-S,12243,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,5,Ay Aurora,1973,matched,12/14/1973,Ay Aurora,,Alberto Echagüe,Tape-S,15318,
