LP_Folder,LP_Catalog,LP_Title,Side,Track_No,Track_Title,Track_Year,Match_Status,Disc_Date,Disc_Title,Disc_AltTitle,Singer,Master,Matrix,Note
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,2,"Portero, Suba Y Díga",1967,matched,1967-11-28,Portero Suba y Diga,,Armando Laborde,Tape-S,7544,
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,3,C.T.V.,1967,matched_variant,1967-11-28,Ctv,,Instrumental,Tape-S,,variant of 'Ctv'
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,4,Cuéntame Tu Pena,1967,matched,1967-11-14,Cuéntame Tu Pena,,Osvaldo Ramos,Tape-S,7527,
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,5,Milagro De Tango,1967,matched,1967-11-14,Milagro de Tango,,Armando Laborde,Tape-S,7528,
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,6,La Trilla,1967,matched,1967-11-14,La Trilla,,Instrumental,Tape-S,7531,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,1,Barrio Reo,1967,matched,1967-11-14,Barrio Reo,,Armando Laborde,Tape-S,7526,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,2,Canaro en París,1967,matched,1967-11-28,Canaro en París,,Instrumental,Tape-S,7542,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,3,La Mariposa,1967,matched,1967-11-14,La Mariposa,,Osvaldo Ramos,Tape-S,,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,4,Tinta Verde,1967,matched,1967-11-14,Tinta Verde,,Instrumental,Tape-S,7532,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,5,Me Vio Tu Barrio,1967,matched,1967-11-14,Me Vio Tu Barrio,,Osvaldo Ramos,Tape-S,7529,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,6,Adiós Bardi,1967,matched,1967-11-14,Adiós Bardi,,Instrumental,Tape-S,7530,
Che Timbero,AVL-3688,Che Timbero,A,1,Che Timbero,1965,matched,1965-09-27,Che Timbero,,Armando Laborde,Tape-S,5376,
Che Timbero,AVL-3688,Che Timbero,A,2,"Nada, Nada Más Que Amor",1965,matched,1965-11-18,Nada Nada Más Que Amor,,Osvaldo Ramos,Tape-S,5478,
Che Timbero,AVL-3688,Che Timbero,A,3,La Mimada,1965,matched,1965-09-27,La Mimada,,Ramos y Laborde,Tape-S,5377,
Che Timbero,AVL-3688,Che Timbero,A,4,Calla,1965,matched,1965-10-14,Calla,,Armando Laborde,Tape-S,5395,
Che Timbero,AVL-3688,Che Timbero,A,5,Desconocidos,1965,matched,1965-09-02,Desconocidos,,Osvaldo Ramos,Tape-S,5325,
Che Timbero,AVL-3688,Che Timbero,A,6,Formidable,1962,matched,1962-09-10,Formidable,,Instrumental,Tape,3454,
Che Timbero,AVL-3688,Che Timbero,B,1,Tucumán,1950,matched,1950-09-28,Tucumán,,Instrumental,Micro,BAVE-093890,
Che Timbero,AVL-3688,Che Timbero,B,2,Ya Lo Ves,1964,matched,1964-11-18,Ya Lo Ves,,Armando Laborde,Tape-S,4663,
Che Timbero,AVL-3688,Che Timbero,B,3,Suerte Loca,1964,matched,1964-10-09,Suerte Loca,,Armando Laborde,Tape-S,4561,
Che Timbero,AVL-3688,Che Timbero,B,4,Solo Un Renglón,1965,matched,1965-09-27,Sólo un Renglón,,Osvaldo Ramos,Tape-S,5375,
Che Timbero,AVL-3688,Che Timbero,B,5,Julieta y Romeo,1965,matched,1965-09-02,Julieta y Romeo,,Armando Laborde,Tape-S,,
Che Timbero,AVL-3688,Che Timbero,B,6,Junto A Mi China,1965,matched,1965-09-27,Junto a Mi China,,Ramos y Laborde,Tape-S,5378,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,A,1,El Arroyito,1970,matched,1970-12-16,El Arroyito,,Instrumental,Tape-S,11128,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,A,2,El Carrerito,1970,matched,1970-12-16,El Carrerito,,Osvaldo Ramos,Tape-S,11136,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,A,3,Elegante Papirusa,1970,matched,1970-12-16,Elegante Papirusa,,Instrumental,Tape-S,11135,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,A,4,Sin Dobleces,1971,matched,1971-11-26,Sin Dobleces,,Armando Laborde,Tape-S,12239,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,A,5,Zapatitos De Raso,1970,matched,1970-10-29,Zapatitos de Raso,,Ramos y Laborde,Tape-S,10855,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,A,6,La Biyarda,1971,matched,1971-11-26,La Biyarda,,Instrumental,Tape-S,12198,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,B,1,El Taura,1970,matched,1970-08-21,El Taura,,Instrumental,Tape-S,10515,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,B,2,Con Alma Y Nervio,1970,matched,1970-12-16,Con Alma y Nervio,,Armando Laborde,Tape-S,11132,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,B,3,La Cautiva,1970,matched,1970-08-21,La Cautiva,,Instrumental,Tape-S,10517,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,B,4,Paciencia,1970,matched,1970-12-16,Paciencia,,Alberto Echagüe,Tape-S,11133,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,B,5,Un Lamento,1969,matched,1969-10-20,Un Lamento,,Instrumental,Tape-S,9567,
Con Alma y Nervio,AVS-4099,Con Alma y Nervio,B,6,De Corte Arrabalero,1971,matched,1971-11-26,De Corte Arrabalero,,Instrumental,Tape-S,12200,
Con tu Compas,AVL-3883,Con Tu Compás,A,1,Mariposita,1969,matched,1969-09-18,Mariposita,,Instrumental,Tape-S,9486,
Con tu Compas,AVL-3883,Con Tu Compás,A,2,Solo Tuya,1969,matched,1969-08-12,Sólo Tuya,,Osvaldo Ramos,Tape-S,9443,
Con tu Compas,AVL-3883,Con Tu Compás,A,3,El Incendio,1969,matched,1969-09-18,El Incendio,,Instrumental,Tape-S,9490,
Con tu Compas,AVL-3883,Con Tu Compás,A,4,Con Tu Compás,1969,matched,1969-08-01,Con Tu Compás,,Armando Laborde,Tape-S,9173,
Con tu Compas,AVL-3883,Con Tu Compás,A,5,El Jaguar,1969,matched,1969-09-18,El Jaguar,,Instrumental,Tape-S,9489,
Con tu Compas,AVL-3883,Con Tu Compás,A,6,Gotas De Veneno,1969,matched,1969-08-12,Gotas de Veneno,,Armando Laborde,Tape-S,9442,
Con tu Compas,AVL-3883,Con Tu Compás,B,1,El Arranque,1969,matched,1969-09-18,El Arranque,,Instrumental,Tape-S,9488,
Con tu Compas,AVL-3883,Con Tu Compás,B,2,Aquel Abril,1969,matched,1969-08-01,Aquel Abril,,Osvaldo Ramos,Tape-S,9178,
Con tu Compas,AVL-3883,Con Tu Compás,B,3,Las Cuarenta,1969,matched,1969-08-01,Las Cuarenta,,Alberto Echagüe,Tape-S,9176,
Con tu Compas,AVL-3883,Con Tu Compás,B,4,Sin Ti,1969,matched,1969-08-01,Sin Ti,,Osvaldo Ramos,Tape-S,9172,
Con tu Compas,AVL-3883,Con Tu Compás,B,5,Pregonera,1969,matched,1969-09-18,Pregonera,,Ramos y Laborde,Tape-S,9496,
Con tu Compas,AVL-3883,Con Tu Compás,B,6,La Chiflada,1969,matched,1969-09-18,La Chiflada,El Silbido,Instrumental,Tape-S,9492,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,A,1,Cumpleaños de mi Esposa,1963,matched,1963-08-01,Cumpleaños de Mi Esposa,,Jorge Valdez,Tape-S,3943,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,A,2,Del Tiempo De La Morocha,1962,matched,1962-09-12,Del Tiempo de la Morocha,,Horacio Palma,Tape,3465,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,A,3,El Tigre De Almagro,1962,matched,1962-10-10,El Tigre de Almagro,,Horacio Palma,Tape-S,3534,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,A,4,La Paparruchita,1962,matched,1962-09-06,La Paparruchita,,Instrumental,Tape,3446,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,A,5,Déjame Con Mis Centavos,1962,matched,1962-09-10,Déjame con Mis Centavos,,Jorge Valdez,Tape,3453,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,A,6,Caña,1964,matched,1964-06-30,Caña,,Armando Laborde,Tape,4396,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,B,1,Nada,1964,matched,1964-06-30,Nada,,Jorge Valdez,Tape,4394,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,B,2,Prometedora,1962,matched,1962-09-10,Prometedora,,Horacio Palma,Tape,3451,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,B,3,Yuyo Brujo,1964,matched,1964-06-30,Yuyo Brujo,,Armando Laborde,Tape,4397,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,B,4,Hola Ricurita,1962,matched,1962-11-13,Hola Ricurita,,Jorge Valdez,Tape-S,3583,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,B,5,Color Esperanza,1961,matched,1961-07-11,Color Esperanza,,Jorge Valdez,Tape,2507,
Cumpleanos de Mi Esposa,AVL-3537,Cumpleaños de mi Esposa,B,6,Qué Falta Que Me Hacés,1964,matched,1964-06-30,Qué Falta Que Me Hacés,,Jorge Valdez,Tape,4395,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,A,1,La Cumparsita,1963,matched,1963-12-10,La Cumparsita,Si Supieras,Instrumental,Tape,4120,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,A,2,A Media Luz,1963,matched,1963-12-17,A Media Luz,,Instrumental,Tape,4131,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,A,3,La Catrera,1963,matched,1963-12-10,La Catrera,,Instrumental,Tape-S,4119,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,A,4,Felicia,1963,matched,1963-11-06,Felicia,,Instrumental,Tape-S,4059,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,A,5,El Choclo,1963,matched,1963-12-04,El Choclo,,Instrumental,Tape-S,4107,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,A,6,Derecho Viejo,1963,matched,1963-11-13,Derecho Viejo,,Instrumental,Tape-S,4071,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,B,1,La Puñalada,1963,matched,1963-12-10,La Puñalada,,Instrumental,Tape,4118,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,B,2,El Irresistible,1963,matched,1963-11-13,El Irresistible,,Instrumental,Tape-S,4069,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,B,3,El Entrerriano,1963,matched,1963-12-04,El Entrerriano,,Instrumental,Tape-S,4108,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,B,4,Pimienta,1963,matched,1963-12-17,Pimienta,,Instrumental,Tape,4129,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,B,5,La Morocha,1963,matched,1963-11-13,La Morocha,,Instrumental,Tape-S,4070,
DArienzo for Export Vol 1,AVL-3512,D'Arienzo For Export - Vol.1,B,6,A La Gran Muñeca,1963,matched,1963-12-17,A la Gran Muñeca,,Instrumental,Tape,4130,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,A,1,Pura Trampa,1966,matched,1966-08-03,Pura Trampa,,Instrumental,Tape-S,6166,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,A,2,La Payanca,1966,matched,1966-07-25,La Payanca,,Instrumental,Tape-S,6144,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,A,3,"Vea, Vea",1966,matched,1966-07-25,Vea Vea,,Instrumental,Tape-S,6147,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,A,4,Nueve de Julio,1966,matched,1966-08-03,Nueve de Julio,9 de Julio,Instrumental,Tape-S,6165,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,A,5,De Mi Flor,1966,matched,1966-08-03,De Mi Flor,,Instrumental,Tape-S,6164,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,A,6,Entre Dos Fuegos,1966,matched,1966-07-25,Entre Dos Fuegos,,Instrumental,Tape-S,6148,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,B,1,El Once,1966,matched,1966-08-03,El Once,,Instrumental,Tape-S,6167,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,B,2,Hotel Victoria,1966,matched,1966-08-03,Hotel Victoria,,Instrumental,Tape-S,6168,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,B,3,Rodriguez Peña,1966,matched,1966-07-25,Rodríguez Peña,,Instrumental,Tape-S,6146,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,B,4,La Viruta,1966,matched,1966-07-25,La Viruta,,Instrumental,Tape-S,6145,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,B,5,Benguria,1966,matched,1966-08-03,Benguria,,Instrumental,Tape-S,6163,
DArienzo for Export Vol 2,AVL/AVS-3705,D'Arienzo For Export - Vol.2,B,6,El Amanecer,1966,matched,1966-07-25,El Amanecer,,Instrumental,Tape-S,6143,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,A,1,Organito de la Tarde,1967,matched,1967-07-27,Organito de la Tarde,,Instrumental,Tape-S,6994,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,A,2,Qué Noche,1967,matched,1967-07-27,Qué Noche,,Instrumental,Tape-S,6995,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,A,3,Papas Calientes,1967,matched,1967-07-27,Papas Calientes,,Instrumental,Tape-S,6999,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,A,4,Inspiración,1967,matched,1967-07-27,Inspiración,,Instrumental,Tape-S,6996,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,A,5,La Clavada,1967,matched,1967-08-16,La Clavada,,Instrumental,Tape-S,7027,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,A,6,El Chupete,1967,matched,1967-07-27,El Chupete,,Instrumental,Tape-S,6998,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,B,1,Ahí Va El Dulce,1967,matched,1967-07-27,Ahí Va el Dulce,,Instrumental,Tape-S,6997,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,B,2,El Horizonte,1967,matched,1967-08-21,El Horizonte,,Instrumental,Tape-S,7195,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,B,3,La Guitarrita,1967,matched,1967-08-16,La Guitarrita,,Instrumental,Tape-S,7028,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,B,4,El Tamango,1967,matched,1967-08-16,El Tamango,,Instrumental,Tape-S,7026,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,B,5,Sollozos,1967,matched,1967-08-21,Sollozos,,Instrumental,Tape-S,7190,
DArienzo for Export Vol 3,AVL-3759,D'Arienzo For Export - Vol.3,B,6,La Racha,1967,matched,1967-08-02,La Racha,,Instrumental,Tape-S,7012,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,A,1,La Guiñada,1973,matched,1973-12-14,La Guiñada,,Instrumental,Tape-S,15321,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,A,2,Bar Exposición,1973,matched,1973-12-14,Bar Exposición,Cosa Linda Barata,Instrumental,Tape-S,15314,
DArienzo for Export Vol 4,AVS-4210,D'Arienzo For Export - Vol.4,A,3,Zorro Gris,1973,matched,1973-12-14,Zorro Gris,,Instrumental,Tape-S,15323,
