LP_Folder,LP_Catalog,LP_Title,Side,Track_No,Track_Title,Match_Status,Disc_Date,Disc_Title,Disc_AltTitle,Singer,Matrix,Kind
Pa La Muchachada,70.114,Pa La Muchachada,A,6,No Vale La Pena,exact,1959,No Vale la Pena,Ya No Vale la Pena,Alberto Castillo,,LP
Pa La Muchachada,70.114,Pa La Muchachada,B,1,Aqui Hace Falta Un Tango,exact,1959-12-05,Aquí Hace Falta un Tango,,Alberto Castillo,,LP
Pa La Muchachada,70.114,Pa La Muchachada,B,2,Lo Que No Fue,exact,1959-12-05,Lo Que No Fue,,Alberto Castillo,,LP
Pa La Muchachada,70.114,Pa La Muchachada,B,3,Candela,exact,1959,Candela,,Alberto Castillo,,LP
Pa La Muchachada,70.114,Pa La Muchachada,B,4,Los Rascas,exact,1960,Los Rascas,,Alberto Castillo,,LP
Pa La Muchachada,70.114,Pa La Muchachada,B,5,Dos Años,exact,1959,Dos Años,,Alberto Castillo,,LP
Pa La Muchachada,70.114,Pa La Muchachada,B,6,Al Compas De Un Tango,exact,1959,Al Compás de un Tango,,Alberto Castillo,,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,A,1,La Cumparsita,exact,1955-11-18,La Cumparsita,Si Supieras,Alberto Castillo,,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,A,2,La Pulpera De Santa Lucia,exact,1945-04-24,La Pulpera de Santa Lucía,,Alberto Castillo,14584,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,A,3,Garufa,exact,1951-05-11,Garufa,,Alberto Castillo,17999,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,A,4,Amigos Y Mujeres,exact,1953-03-05,Amigos y Mujeres,,Alberto Castillo,,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,A,5,A Media Luz,exact,1953-03-05,A Media Luz,,Alberto Castillo,18806,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,A,6,El Cachivachero,exact,1950-01-25,El Cachivachero,,Alberto Castillo,17569,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,B,1,Adios Pampa Mia,exact,1947-04-11,Adiós Pampa Mía,,Alberto Castillo,16378,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,B,2,Esta Noche Me Emborracho,exact,1946-07-11,Esta Noche Me Emborracho,,Alberto Castillo,15651,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,B,3,Paso Tu Cuarto De Hora,exact,1945-08-21,Se Pasó Tu Cuarto de Hora,,Alberto Castillo,,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,B,4,Que Bonitos Ojos,exact,1951-06-15,Qué Bonitos Ojos,,Alberto Castillo,18073,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,B,5,Son Sueños,exact,1953-10-28,Son Sueños,,Alberto Castillo,,LP
Los Tangos a mi Manera,OLP 015,Los Tangos a mi Manera,B,6,El Choclo,exact,1953-07-01,El Choclo,Kiss Of Fire,Alberto Castillo,,LP
Abuelita Dominga,MH 60327,Abuelita Dominga,A,1,Abuelita Dominga,exact,1967,Rosa Morena,Abuelita Dominga,Alberto Castillo,,EP
Abuelita Dominga,MH 60327,Abuelita Dominga,A,2,Cachumbe,exact,1967,Cachumbe,,Alberto Castillo,,EP
Abuelita Dominga,MH 60327,Abuelita Dominga,B,1,Candombe,exact,1967,Candombe,,Alberto Castillo,,EP
Abuelita Dominga,MH 60327,Abuelita Dominga,B,2,Tamboriles,exact,1967,Tamboriles,,Alberto Castillo,,EP
Son Suenos,DSOE 16.052,Son Sueños,A,1,Son Sueños,exact,1953-10-28,Son Sueños,,Alberto Castillo,,EP
Son Suenos,DSOE 16.052,Son Sueños,A,2,Ella,exact,1954-08-10,Ella,,Alberto Castillo,,EP
Son Suenos,DSOE 16.052,Son Sueños,B,1,"Ay, Dolores",exact,1954-07-19,Ay Dolores,,Alberto Castillo,19583,EP
Son Suenos,DSOE 16.052,Son Sueños,B,2,Candombero,exact,1951-07-23,Candombero,,Alberto Castillo,18121,EP
Vol 4,DTOA/E 2165,Vol 4,A,1,Baile de Los Morenos,exact,1947-04-11,Baile de los Morenos,,Alberto Castillo,16377,EP
Vol 4,DTOA/E 2165,Vol 4,A,2,Charol,exact,1944-03-03,Charol,,Alberto Castillo,13614,EP
Vol 4,DTOA/E 2165,Vol 4,B,1,Pobre Mi Madre Querida,exact,1949-07-14,Pobre Mi Madre Querida,Mi Madre Querida,Alberto Castillo,17354,EP
Vol 4,DTOA/E 2165,Vol 4,B,2,Ninguna,exact,1948-01-08,Ninguna,,Alberto Castillo,16834,EP
