Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Héctor Varela,Orquesta Héctor Varela,1952-08-21,La Chacarera,,Tango,Instrumental,Pampa,,,,"José Servidio, Juan Maglio",Juan Caruso,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-08-21,Novia Provinciana,,Tango,Argentino Ledesma,Pampa,,,,"Casimiro Dávila, Juan Pomati",Horacio Sanguinetti,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-09-19,A Tres Bandas,,Tango,Instrumental,Pampa,,,,Bautista Bonacossa,,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-09-19,Champagne Tango,,Tango,Instrumental,Pampa,,,,Manuel Aróztegui,,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-12-19,Que Sigan Charlando,,Tango,Rodolfo Lesica,Pampa,,,,Héctor Varela,Carlos Waiss,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-12-19,Yo También,,Tango,Argentino Ledesma,Pampa,,,,Luis Visca,Luis Rubistein,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-03-06,Aguantalo Si Podés,De Corte Antiguo,Tango,Instrumental,Pampa,,,,Anselmo Aieta,,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-03-06,El Fustazo,,Tango,Instrumental,Pampa,,,,Dante Vignoli,,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-03-06,Los Diablos Rojos,,Tango,Instrumental,Pampa,,,,"Héctor Varela, Alberto Nery",,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-03-06,Prienda,,Tango,Argentino Ledesma,Pampa,,,,Erma Suárez,Enrique Lary,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-05-06,El Fustazo,,Tango,Instrumental,Pampa,,,,Dante Vignoli,,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-05-06,Los Diablos Rojos,,Tango,Instrumental,Pampa,,,,"Héctor Varela, Alberto Nery",,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-06-16,Igual Que Dos Palomas,,Vals,Argentino Ledesma Y Rodolfo Lesica,Pampa,,,,Alberto Longo,Alberto Longo,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-06-16,La Taba,,Milonga,Instrumental,Pampa,,,,Benedicto Marchese,,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-06-16,Mi Dolor,,Tango,Instrumental,Pampa,,,,Carlos Marcucci,Manuel Meaños,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-06-16,Moneda de Cobre,,Tango,Argentino Ledesma,Pampa,,,,Carlos Viván,Horacio Sanguinetti,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-06-16,Murió el Malevo,,Tango,Rodolfo Lesica,Pampa,,,,Héctor Varela,Carlos Waiss,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-06-17,Volvé Mi Negra,,Tango,Rodolfo Lesica,Pampa,,,,José Rizzuti,José Gómez,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-11-19,La Llorona,,Tango,Instrumental,Pampa,,,,Emilio De Caro,Ricardo Brignolo,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1953-11-19,Y No Te Voy a Llorar,Y No Te Voy a Llorar,Tango,Argentino Ledesma,Pampa,,,,Luciano Leocata,Abel Aznar,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1954,Barrio Reo,,Tango,Instrumental,Pampa,,,,Roberto Fugazot,Alfredo Navarrine,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1954-04-20,Canzoneta,,Tango,Rodolfo Lesica,Pampa,,,,Erma Suárez,Enrique Lary,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1954-04-20,El Pachacho,,Tango,Instrumental,Pampa,,,,Alberto Miguel,,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1954-10-26,Didí,Di Di,Tango,Instrumental,Pampa,,,,Roberto Firpo,,,50-54 Pampa,Osvaldo Manzi,Agustín Furchi,"Héctor Varela, Antonio Marchese, Alberto San Miguel, Luis Pinotti, Salvador Alonso, Eduardo Otero","Mario Abramovich, Nathán Melman, Armando Husso, Juan Carlos Dafonte","Piano, Bass, 6 Bandoneons, 4 Violins"
Héctor Varela,Orquesta Héctor Varela,1954-10-26,Eras Como la Flor,,Tango,Argentino Ledesma,Pampa,,,,Roberto Rufino,Mario Arrieta,,50-54 Pampa,Osvaldo Manzi,Agustín Furchi,"Héctor Varela, Antonio Marchese, Alberto San Miguel, Luis Pinotti, Salvador Alonso, Eduardo Otero","Mario Abramovich, Nathán Melman, Armando Husso, Juan Carlos Dafonte","Piano, Bass, 6 Bandoneons, 4 Violins"
