Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Orquesta Típica Victor,Orquesta Típica Victor,1926-07-20,Pato,,Tango,Instrumental,Víctor,78rpm,BAVE 880-1,79696-B,Ramón Collazo,Ramón Collazo,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-08-03,Las Chircas,,Tango,Instrumental,Víctor,78rpm,BAVE 898-1,79705-B,Luis Viapiana,,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-08-03,Te Armarás,,Tango,Instrumental,Víctor,78rpm,BAVE 899-2,79705-A,Raúl Moreno,,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-08-25,Abuelito,,Tango,Instrumental,Víctor,78rpm,BAVE 905-2,79708-B,Alberto Laporte,"Eduardo Trongé, Carlos Cabral",,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-08-25,Rayito,,Tango,Instrumental,Víctor,78rpm,BAVE 904-2,79708-A,Alfonso Lacueva,,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-09-14,Cuando Tú Me Quieras,,Tango,Instrumental,Víctor,78rpm,BAVE 932-2,79721-A,"Agesilao Ferrazzano, Julio Pollero",Francisco Bohígas,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-09-14,Musiquita,,Tango,Instrumental,Víctor,78rpm,BAVE 930-2,79721-B,Juan Reyes,Luis Viapiana,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-09-14,Orgullosa,,Tango,Instrumental,Víctor,78rpm,BAVE 931-1,79720-B,Vicente Gorrese,,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-09-13,Te Acompaño el Sentimiento,,Tango,Instrumental,Víctor,78rpm,BAVE 929-2,79720-A,Juan Baüer,,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-09-27,Hilos de Plata,,Tango,Instrumental,Víctor,78rpm,BAVE 953-2,79730-A,Fausto Frontera,,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-09-27,Te Fuiste,,Tango,Instrumental,Víctor,78rpm,BAVE 952-2,79730-B,"A. Carbona, V. Ferrer",,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-10-25,Falucho,,Tango,Instrumental,Víctor,78rpm,BAVE 975-2,79742-B,José Cresta,,,26-28 Instrumentals,,,,,
