Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Juan Maglio,Cuarteto Juan Maglio,1913,El Conquistador,,Tango,Instrumental,Columbia,,56791,Columbia T655,Arturo De Bassi,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,El Orillero,,Tango,Instrumental,Columbia,,56793,Columbia T651,Carlos Bevilacqua,Antonio Polito,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,El Perverso,,Tango,Instrumental,Columbia,,56782,Columbia S2007,Vicente Greco,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,El Toto,,Tango,Instrumental,Columbia,,56731,Columbia T588,Carlos Posadas,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,El Trasnochador,,Tango,Instrumental,Columbia,,56786,Columbia T586,Cipriano Nava,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,Jeanne,,Tango,Instrumental,Columbia,,57198,Columbia TX759,Juan Maglio,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,La Casita,,Tango,Instrumental,Columbia,,56610,Columbia T590,Luis Argerich,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,La Chola,,Tango,Instrumental,Columbia,,56796,Columbia T651,Roberto Firpo,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,La Gaucha Manuela,,Tango,Instrumental,Columbia,,56810,Columbia S2009,Roberto Firpo,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,La Patota,,Tango,Instrumental,Columbia,,56792,Columbia T655,Carlos Minotti,Acho Estol,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,La Viruta,,Tango,Instrumental,Columbia,,56788,Columbia T598,Vicente Greco,Ernesto Temes,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,Mi Ñatita,,Tango,Instrumental,Columbia,,56797,Columbia T652,Ángel Villoldo,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1913,Ofelia,,Tango,Instrumental,Columbia,,56736,Columbia T591,M. Torres,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Leopoldo Thompson (Guitar)","Bandoneon, Violin, Flute, Guitar"
