Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disk,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Adolfo Carabelli,Orquesta Típica Porteña,2/4/1931,Confesión,,Tango,Teófilo Ibáñez,Víctor,78rpm,,,Enrique Discépolo,"Enrique Discépolo, Luis Amadori",,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Típica Porteña,2/4/1931,Hoy Me Han Dicho,,Tango,Teófilo Ibáñez,Víctor,78rpm,,,Pascual Storti,,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Típica Porteña,3/10/1931,Pampa,,Tango,Instrumental,Víctor,78rpm,,,Francisco Pracáníco,,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Típica Porteña,3/10/1931,Qué Suegra,,Tango,Roberto Díaz,Víctor,78rpm,,,Francisco Bohigas,Francisco Bohígas,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Típica Porteña,4/7/1931,Estrellita Milagrosa,,Tango,Alberto Gómez,Víctor,78rpm,,,Santiago París,Lito Bayardo,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Típica Porteña,4/28/1931,Cola E' Paja,,Tango,Roberto Díaz,Víctor,78rpm,,,Vicente Gorrese,Vicente Gorrese,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Típica Porteña,6/5/1931,Esta Noche He de Cantar,,Tango,Martín Correa,Víctor,78rpm,,,"Niels Paulos, Luis Rubistein","Niels Paulos, Luis Rubistein",,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Adolfo Carabelli Jazz Band,6/15/1931,Recordar,,Vals,Carlos Lafuente,Víctor,78rpm,60830-1,37004-A,"Charles Borel, Clerc, Saint Granier","Charles Borel, Clerc, Saint Granier",,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Típica Porteña,7/6/1931,Noches Porteñas,,Tango,Pedro Moreno,Víctor,78rpm,,,Juan Canaro,Jesús Blanco,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Típica Porteña,8/13/1931,Qué Sapa Señor,,Tango,Roberto Díaz,Víctor,78rpm,,,Enrique Discépolo,Enrique Discépolo,,27-31 Other Orchestras,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,9/4/1931,Cantando,,Tango,Alberto Gómez,Víctor,78rpm,60940-1,37058-A,Mercedes Simone,Mercedes Simone,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,9/4/1931,Mi Refugio,,Tango,Alberto Gómez,Víctor,78rpm,60941-1,37058-B,Juan Cobián,Pedro Córdoba,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,10/2/1931,Mentira,Mentiras,Tango,Carlos Lafuente,Víctor,78rpm,60992-2,37079-A,Francisco Pracáníco,Celedonio Flores,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,11/2/1931,Por Qué,,Tango,Alberto Gómez,Víctor,78rpm,66521-2,37097-A,Osvaldo Fresedo,Emilio Fresedo,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
Adolfo Carabelli,Orquesta Adolfo Carabelli,11/2/1931,Porqué,,Tango,Alberto Gómez,Víctor,78rpm,,,Osvaldo Fresedo,Emilio Fresedo,,31-34 Orquesta Carabeli,Adolfo Carabelli,Orlando Carabelli,"Federico Scorticati, Ciriaco Ortiz, Luis Petrucelli, Carlos Marcucci","Elvino Vardaro, Manlio Francia, Antonio Rossi","Piano, Bass, 4 Bandoneons, 3 Violins"
