Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Horacio Salgán,Nuevo Quinteto Real,2000,Tango Del Eco,,Tango,Instrumental,Warner Music Argentina,Tape,Horacio Salgán,,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,2000,Taquito Militar,,Milonga,Instrumental,Warner Music Argentina,Tape,Mariano Mores,,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,2000,Aquellos tangos camperos,,Tango,Instrumental,Warner Music Argentina,Tape,"Horacio Salgán, Ubaldo De Lio",,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Horacio Salgán y su Orquesta Típica,2004,A Fuego Lento,Fuego Lento,Tango,Instrumental,SURCO RECORDS,Tape,Horacio Salgán,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,5/4/1950,La Clavada,,Tango,Instrumental,Víctor,78rpm,Ernesto Zambonini,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,5/4/1950,Recuerdo,,Tango,Instrumental,Víctor,78rpm,Osvaldo Pugliese,Eduardo Moreno,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,6/21/1950,Como Abrazado A Un Rencor,,Tango,Ángel Díaz,Víctor,78rpm,Rafael Rossi,Antonio Podestá,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,6/21/1950,Mi Refugio,,Tango,Instrumental,Víctor,78rpm,Juan Cobián,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,8/11/1950,Mala Junta,,Tango,Instrumental,Víctor,78rpm,"Julio De Caro, Pedro Laurenz",,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,8/11/1950,Motivo De Vals,,Vals,Ángel Díaz,Víctor,78rpm,Horacio Salgán,Carlos Bahr,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,12/29/1950,Don Agustín Bardi,,Tango,Instrumental,Víctor,78rpm,Horacio Salgán,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,12/29/1950,Gallo Ciego,,Tango,Instrumental,Víctor,78rpm,Agustín Bardi,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,2/8/1951,Pobre Colombina,,Tango,Horacio Deval,Víctor,78rpm,"Virgilio Carmona, Emilio Falero",Emilio Falero,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,2/8/1951,Vieja Recova,,Tango,Ángel Díaz,Víctor,78rpm,Rodolfo Sciammarella,Enrique Cadícamo,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,5/30/1951,Shusheta,El Aristócrata,Tango,Instrumental,Víctor,78rpm,Juan Cobián,Enrique Cadícamo,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,5/30/1951,Tierra Querida,,Tango,Instrumental,Víctor,78rpm,Julio De Caro,Luis Díaz,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,7/5/1951,Las Mirlas,,Vals,Ángel Díaz,Víctor,78rpm,Pedro Martínez,Jesús Trespalacios,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,7/5/1951,Sueño Querido,,Tango,Horacio Deval,Víctor,78rpm,Ángel Maffia,Mario Battistella,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,7/12/1951,La Tablada,,Tango,Instrumental,Víctor,78rpm,Francisco Canaro,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,7/12/1951,Ojos Negros,,Tango,Instrumental,Víctor,78rpm,Vicente Greco,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,12/17/1951,N.P.,No Placé,Tango,Ángel Díaz,Víctor,Tape,Juan Riverol,Francisco Loiácono,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,12/17/1951,Yo Te Bendigo,,Tango,Horacio Deval,Víctor,Tape,Juan Filiberto,Juan Bruno,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,5/20/1952,Sentimental Y Canyengue,,Tango,Instrumental,Víctor,Tape,"Leopoldo Federico, Victor Felice",,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,5/20/1952,Un Momento,,Vals,Roberto Goyeneche,Víctor,Tape,Héctor Stamponi,Héctor Stamponi,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,5/30/1952,Alma De Loca,,Tango,Roberto Goyeneche,Víctor,Tape,Guillermo Cavazza,Jacinto Font,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,5/30/1952,Los Mareados,,Tango,Instrumental,Víctor,Tape,Juan Cobián,Enrique Cadícamo,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,6/25/1952,Boedo,,Tango,Instrumental,Víctor,Tape,Julio De Caro,Dante Linyera,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,6/25/1952,Una Carta,,Tango,Ángel Díaz,Víctor,Tape,Miguel Bucino,Miguel Bucino,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,9/4/1952,Ilusión De Mi Vida,,Vals,Instrumental,Víctor,Tape,Feliciano Brunelli,Nolo López,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,9/4/1952,La Llamó Silbando,,Tango,Instrumental,Víctor,Tape,Horacio Salgán,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,9/16/1952,Del 1 Al 5,Dia De Pago,Tango,Instrumental,Víctor,Tape,Horacio Salgán,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,9/16/1952,Yo Soy El Mismo,,Tango,Roberto Goyeneche,Víctor,Tape,Edmundo Rivero,Víctor Felice,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,2/9/1953,Doble Castigo,,Tango,Ángel Díaz,Víctor,Tape,Elías Randal,Carlos Bahr,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,2/9/1953,Don Goyo,,Tango,Instrumental,Víctor,Tape,L. Bernstein,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,2/9/1953,El Marne,,Tango,Instrumental,Víctor,Tape,Eduardo Arolas,,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,2/9/1953,Siga El Corso,,Tango,Roberto Goyeneche,Víctor,Tape,Anselmo Aieta,Francisco Jiménez,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,5/20/1956,Un Cielo Para Los Dos,,Vals,Roberto Goyeneche y Ángel Díaz,Disco TK,Tape,Ángel Cabral,Enrique Dizeo,,50-57 Típica,Horacio Salgán,,,
Horacio Salgán,Quinteto Real,6/26/1963,Taquito Militar,,Milonga,,,Tape,Mariano Mores,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,6/26/1963,Vida Mía,,Tango,,,Tape,Osvaldo Fresedo,Emilio Fresedo,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,7/11/1963,Hotel Victoria,Gran Hotel Victoria,Tango,,,Tape,Feliciano Latasa,Carlos Pesce,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,9/5/1963,Tango Del Eco,,Tango,,,Tape,Horacio Salgán,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,3/16/1964,La Loca De Amor,,Vals,,,Tape,Enrique Caviglia,Ricardo Podestá,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,3/18/1964,El Abrojito,,Tango,,,Tape,Luis Bernstein,Jesús Blanco,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,Los cosos de Buenos Aires,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,Perfecto Garronelli,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,El rey de los plomos,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,El pibe corazón,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,Inocencio el chapa chapa,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,El viejito mejillón,,Milonga,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,El futuro soldado,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,El ganador del prode,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,El as de la manga,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,El tuerca de los domingos,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,El que lo sabe todo,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,1973,Salvador el influyente,,Tango,Miguel Montero,Odeon,Tape,Horacio Salgán,Roberto Lambertucci,,61-81 Orquesta Tipica II,,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,A Fuego Lento,Fuego Lento,Tango,Instrumental,Philips,Tape,Horacio Salgán,,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,Chiquilín De Bachín,,Tango,Ranko Fujisawa,Philips,Tape,Astor Piazzolla,Horacio Ferrer,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,El Choclo,,Tango,Instrumental,Philips,Tape,Ángel Villoldo,"Juan Catán, Enrique Discépolo",,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,Gallo Ciego,,Tango,Instrumental,Philips,Tape,Agustín Bardi,,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,Ilusión De Mi Vida,,Vals,Instrumental,Philips,Tape,Feliciano Brunelli,Nolo López,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,La Cumparsita,Si Supieras,Tango,Instrumental,Philips,Tape,Gerardo Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,La Luz De Un Fósforo,,Tango,Ana María,Philips,Tape,Alberto Villanueva,Enrique Cadícamo,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,Lo Han Visto Con Otra,,Tango,Ana María,Philips,Tape,Horacio Pettorossi,Horacio Pettorossi,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,Mamá Yo Quiero Un Novio,,Tango,Ranko Fujisawa,Philips,Tape,Ramón Collazo,Roberto Fontaina,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,Mano A Mano,Viejo Bandoneón,Tango,Alberto Taboada,Philips,Tape,"Carlos Gardel, José Razzano",Celedonio Flores,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,Recuerdo,,Tango,Instrumental,Philips,Tape,Osvaldo Pugliese,Eduardo Moreno,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,Responso,,Tango,Instrumental,Philips,Tape,Aníbal Troilo,,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,Trenzas,,Tango,Alberto Taboada,Philips,Tape,Armando Pontier,Homero Expósito,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y su Orquesta Típica,3/7/1981,Una Canción,,Tango,Ranko Fujisawa,Philips,Tape,Aníbal Troilo,Cátulo Castillo,,61-81 Orquesta Tipica II,Horacio Salgán,,,
Horacio Salgán,Horacio Salgán y Ubaldo De Lío,3/7/1981,Hotel Victoria,Gran Hotel Victoria,Tango,Instrumental,Philips,Tape,Feliciano Latasa,Carlos Pesce,,61-81 Orquesta Tipica II,Horacio Salgán,,,Ubaldo De Lío (Guitar)
Horacio Salgán,Horacio Salgán y Ubaldo De Lío,3/7/1981,Taquito Militar,,Milonga,Instrumental,Philips,Tape,Mariano Mores,,,61-81 Orquesta Tipica II,Horacio Salgán,,,Ubaldo De Lío (Guitar)
Horacio Salgán,Nuevo Quinteto Real,3/7/1981,Felicia,,Tango,Instrumental,Philips,Tape,Enrique Saborido,Carlos Pacheco,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Orquesta Sinfónica,7/13/1990,Annunciación De Gardel,,Tango,Horacio Ferrer,ABR Discos,Tape,,,,,Horacio Salgán,,Leopoldo Federico,"Haydée Francia, Ubaldo De Lío (Guitar)"
Horacio Salgán,Orquesta Sinfónica,7/13/1990,Carta Al Río De La Plata,,Tango,Instrumental,ABR Discos,Tape,"Carlos Gardel, Horacio Salgán",Horacio Ferrer,,,Horacio Salgán,,Leopoldo Federico,"Haydée Francia, Ubaldo De Lío (Guitar)"
Horacio Salgán,Orquesta Sinfónica,7/13/1990,Desde El Azul Del Cielo,,Tango,Instrumental,ABR Discos,Tape,"Carlos Gardel, Horacio Salgán","Alfredo Le Pera, Horacio Ferrer",,,Horacio Salgán,,Leopoldo Federico,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Orquesta Sinfónica,7/13/1990,El Día De Santa Guitarrita,,Tango,Instrumental,ABR Discos,Tape,Horacio Salgán,Horacio Ferrer,,,Horacio Salgán,,Leopoldo Federico,"Haydée Francia, Ubaldo De Lío (Guitar)"
Horacio Salgán,Orquesta Sinfónica,7/13/1990,El Mago De Buenos Aires,,Tango,Instrumental,ABR Discos,Tape,Horacio Salgán,Horacio Ferrer,,,Horacio Salgán,,Leopoldo Federico,"Haydée Francia, Ubaldo De Lío (Guitar)"
Horacio Salgán,Orquesta Sinfónica,7/13/1990,En El Barrio Del Abasto,,Tango,Instrumental,ABR Discos,Tape,Horacio Salgán,Horacio Ferrer,,,Horacio Salgán,,Leopoldo Federico,"Haydée Francia, Ubaldo De Lío (Guitar)"
Horacio Salgán,Orquesta Sinfónica,7/13/1990,En Un Circo Criollo,,Tango,Instrumental,ABR Discos,Tape,Horacio Salgán,Horacio Ferrer,,,Horacio Salgán,,Leopoldo Federico,"Haydée Francia, Ubaldo De Lío (Guitar)"
Horacio Salgán,Orquesta Sinfónica,7/13/1990,En Una Iglesia De Medellín,,Tango,Instrumental,ABR Discos,Tape,,,,,Horacio Salgán,,Leopoldo Federico,"Haydée Francia, Ubaldo De Lío (Guitar)"
Horacio Salgán,Horacio Salgán y Ubaldo De Lío,1/19/1996,Comme Il Faut,Como Debe Ser,Tango,Instrumental,EMI,Tape,Eduardo Arolas,Gabriel Clausi,,Salgán y De Lío,Horacio Salgán,,Leopoldo Federico,"Haydée Francia, Ubaldo De Lío (Guitar)"
Horacio Salgán,Horacio Salgán y Ubaldo De Lío,1/19/1996,La Cumparsita,Si Supieras,Tango,Instrumental,EMI,Tape,Gerardo Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,Salgán y De Lío,Horacio Salgán,,Leopoldo Federico,"Haydée Francia, Ubaldo De Lío (Guitar)"
Horacio Salgán,Horacio Salgán y Ubaldo De Lío,1/19/1996,Valsecito Amigo,,Vals,Instrumental,EMI,Tape,Aníbal Troilo,José Contursi,,Salgán y De Lío,Horacio Salgán,,Leopoldo Federico,"Haydée Francia, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,1/19/1996,A Fuego Lento,Fuego Lento,Tango,Instrumental,EMI,Tape,Horacio Salgán,,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,1/19/1996,Canaro En París,Canaro En Paris,Tango,Instrumental,EMI,Tape,"Alejandro Scarpino, Juan Caldarella",José Scarpino,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,1/19/1996,El Abrojito,,Tango,Instrumental,EMI,Tape,Luis Bernstein,Jesús Blanco,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,1/19/1996,El Choclo,,Tango,Instrumental,EMI,Tape,Ángel Villoldo,"Juan Catán, Enrique Discépolo",,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,1/19/1996,Gallo Ciego,,Tango,Instrumental,EMI,Tape,Agustín Bardi,,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,1/19/1996,La Clavada,,Tango,Instrumental,EMI,Tape,Ernesto Zambonini,,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,1/19/1996,La Llamó Silbando,,Tango,Instrumental,EMI,Tape,Horacio Salgán,,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,1/19/1996,La Puñalada,,Tango,Instrumental,EMI,Tape,Pintín Castellanos,Celedonio Flores,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Nuevo Quinteto Real,1/19/1996,Ojos Negros,,Tango,Instrumental,EMI,Tape,Vicente Greco,,,87-97 Nuevo Quinteto,Horacio Salgán,Oscar Giunta,Néstor Marconi,"Antonio Agri, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Akasaka Bajo La Lluvia,,Tango,Instrumental,,Tape,Mihara Tsunaki,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Después Del Adiós,,Tango,Instrumental,,Tape,Kyohei Tsutsumi,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,El Choclo,,Tango,Instrumental,,Tape,Ángel Villoldo,"Juan Catán, Enrique Discépolo",,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Estas Feliz Ahora,,Tango,Instrumental,,Tape,Yasushi Nakamura,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Flores Y Mariposas,,Tango,Instrumental,,Tape,Masao Saiki,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,La Cumparsita,,Tango,Instrumental,,Tape,Gerardo Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Las Estrellas Están Mojadas,,Tango,Instrumental,,Tape,Toshimasa Arai,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Luna De La Noche,,Tango,Instrumental,,Tape,Takashi Miki,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Mujer Mayor,,Tango,Instrumental,,Tape,Masao Saiki,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Noche De Kushiro,,Tango,Instrumental,,Tape,Usa Hero,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Ondas De Amor,,Tango,Instrumental,,Tape,Kunosuke Hamaguchi,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Por La Niebla,,Tango,Instrumental,,Tape,Jun Suzuki,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Sabías Demasiado,,Tango,Instrumental,,Tape,Nakanishi Eikyoku,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Quinteto Real,1969-03,Temporada De Amor,,Tango,Instrumental,,Tape,Izumi Taku,,,60-69 Quinteto,Horacio Salgán,Enrique Díaz,Pedro Láurenz,"Enrique Francini, Ubaldo De Lío (Guitar)"
Horacio Salgán,Horacio Salgán y Ubaldo de Lío,5/28/1959,Orgullo criollo,,Tango,Instrumental,Verve,78rpm,"Pedro Laurenz, Julio De Caro",,,Salgán y De Lío,Horacio Salgán,,,Ubaldo de Lío (Guitar)
Horacio Salgán,Horacio Salgán y Ubaldo de Lío,5/28/1959,Para qué,,Tango,Instrumental,Verve,78rpm,Ocampo,,,Salgán y De Lío,Horacio Salgán,,,Ubaldo de Lío (Guitar)
Horacio Salgán,Horacio Salgán y Ubaldo de Lío,5/28/1959,Boedo,,Tango,Instrumental,Verve,78rpm,Julio De Caro,,,Salgán y De Lío,Horacio Salgán,,,Ubaldo de Lío (Guitar)
Horacio Salgán,Horacio Salgán y Ubaldo de Lío,5/28/1959,Ay tirana,,Tango,Instrumental,Verve,78rpm,"Oscar De Los Hoyos, Tamasi",,,Salgán y De Lío,Horacio Salgán,,,Ubaldo de Lío (Guitar)
Horacio Salgán,Horacio Salgán y Ubaldo de Lío,5/28/1959,Tango del eco,,Tango,Instrumental,Verve,78rpm,Horacio Salgán,,,Salgán y De Lío,Horacio Salgán,,,Ubaldo de Lío (Guitar)
Horacio Salgán,Horacio Salgán y Ubaldo de Lío,5/28/1959,Valsecito amigo,,Vals,Instrumental,Verve,78rpm,Aníbal Troilo,,,Salgán y De Lío,Horacio Salgán,,,Ubaldo de Lío (Guitar)
Horacio Salgán,Horacio Salgán y Ubaldo de Lío,5/28/1959,Taquito militar,,Tango,Instrumental,Verve,78rpm,Mariano Mores,,,Salgán y De Lío,Horacio Salgán,,,Ubaldo de Lío (Guitar)
Horacio Salgán,Horacio Salgán y Ubaldo de Lío,5/28/1959,Buenos Aires a las tres de la mañana,,Tango,Instrumental,Verve,78rpm,Abalos,,,Salgán y De Lío,Horacio Salgán,,,Ubaldo de Lío (Guitar)
Horacio Salgán,Horacio Salgán y Ubaldo de Lío,5/28/1959,Mamá vieja,,Tango,Instrumental,Verve,78rpm,"Larenza, Bayardo",,,Salgán y De Lío,Horacio Salgán,,,Ubaldo de Lío (Guitar)
Horacio Salgán,Horacio Salgán y Ubaldo de Lío,5/28/1959,La casita de mis viejos,,Tango,Instrumental,Verve,78rpm,"Juan Carlos Cobain, Cadiamo",,,Salgán y De Lío,Horacio Salgán,,,Ubaldo de Lío (Guitar)
