Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Disk,Matrix,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Domingo Federico,Orquesta Domingo Federico,9/12/1944,Y Así Nacío Este Tango,Y Así Nació Este Tango,Tango,Carlos Vidal,Víctor,45rpm,60-0544,79846,Isaac N. Garcés,J. Isusi,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/12/1944,Yuyo Verde,Callejón,Tango,Carlos Vidal,Víctor,45rpm,60-0544,79845,Domingo S. Federico,Homero A. Expósito,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,12/27/1944,Ella Me Dio Esta Pena,,Tango,Carlos Vidal,Víctor,45rpm,60-0610,80508,M. Manuel Ferradás Campos; Enrique Cantore,Manuel Campos,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,12/27/1944,Tu Melodía,,Tango,Carlos Vidal,Víctor,45rpm,60-0610,80509,Alberto Suárez Villanueva,Oscar Rubens,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,2/22/1945,A Martín Fierro,,Tango,instrumental,Víctor,45rpm,60-0645,80555,Domingo S. Federico; Francisco Federico,,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,2/22/1945,Senda Florida,,Tango,Carlos Vidal,Víctor,45rpm,60-0645,80556,Rafael Rossi,Eugenio Cárdenas,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/20/1945,Déjame Volver Para Mi Pueblo,,Tango,Carlos Vidal,Víctor,45rpm,60-0670,80612,Domingo Federico; Francisco Federico,Homero Expósito,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/20/1945,Yo,,Tango,Carlos Vidal,Víctor,45rpm,60-0670,80613,Juan José Guichandut,Juan José Guichandut,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/15/1945,El Huérfano,,Tango,Carlos Vidal,Víctor,45rpm,60-0687-B,80646,Anselmo Aieta,Francisco García Jiménez,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/15/1945,Quiéreme Como Soy,,Tango,Carlos Vidal,Víctor,45rpm,60-0687-A,80645,Carlos Bahr; Elías Randal,Carlos Bahr,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,6/19/1945,Futuro,,Tango,instrumental,Víctor,45rpm,60-0714-A,80693,Domingo S. Federico,,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,6/19/1945,Un Pasaje de Mi Vida,,Tango,Carlos Vidal y Oscar Larroca,Víctor,45rpm,60-0714-B,80694,Luis Rubinstein,Luis Rubistein,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/19/1945,Para Qué Te Quiero Tanto,,Tango,Carlos Vidal,Víctor,45rpm,60-0735,80730,Juan Larenza,Cátulo Castillo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/19/1945,Zapatos,,Milonga,Carlos Vidal y Oscar Larroca,Víctor,45rpm,60-0735,80731,Horacio Sanguinetti; Juan J. Guichandut,Horacio Sanguinetti,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/6/1945,Donde Todos Olvidan,,Tango,Carlos Vidal,Víctor,45rpm,60-0776,80803,Isaac M. Garcés; J. Isusi,Isus,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/6/1945,Tango del Querer,,Tango,Carlos Vidal y Oscar Larroca,Víctor,45rpm,60-0776,80804,Ricardo E. Lleras,Andres R. Domenech,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,10/22/1945,Honda Tristeza,,Tango,instrumental,Víctor,45rpm,60-0798,80851,V. Planells del Campo; Roberto Firpo,Vicente Del Campo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,10/22/1945,Voz de Barrio,,Tango,Oscar Larroca,Víctor,45rpm,60-0798,80852,Enrique Gaudino; Víctor Braña,Enrique Gaudino,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/26/1945,Canción Desesperada,,Tango,Carlos Vidal,Víctor,45rpm,60-0829,80909,Enrique Santos Discépolo,Enrique Santos Discépolo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/26/1945,María,,Tango,Oscar Larroca,Víctor,45rpm,60-0829,80910,Aníbal Troilo,Cátulo Castillo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/24/1946,El Mayoral,,Milonga,Oscar Larroca,Víctor,45rpm,60-0927-B,82086,José Vázquez Vigo; José Gómez,Joaquín Bas,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/24/1946,Música en Tu Corazón,,Tango,Carlos Vidal,Víctor,45rpm,60-0927-A,82085,Gabriel Clausi; Alberto Leiva,Alberto Leiva,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/23/1946,La Noche y Marfil,,Tango,Carlos Vidal,Víctor,45rpm,60-0953,82143,Domingo S. Federico,Domingo Federico,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/23/1946,Un Tal Medina,,Tango,Oscar Larroca,Víctor,45rpm,60-0953,82142,Roberto Garza; Carlos Bahr,Carlos Bahr,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/22/1946,En Carne Propia,,Tango,Carlos Vidal,Víctor,45rpm,60-1000,82239,Manuel Bernardo Sucher,Carlos Bahr,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/22/1946,Esa Noche,,Vals,Carlos Vidal y Oscar Larroca,Víctor,45rpm,60-1000,82240,Tito Ribero,Carlos Waiss,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,8/21/1946,El Inca,,Tango,instrumental,Víctor,45rpm,60-1024,82292,Domingo S. Federico; Francisco Federico,,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,8/21/1946,Remolino,,Tango,Oscar Larroca,Víctor,45rpm,60-1024,82293,Alfredo De Angelis,José Rótulo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/14/1946,Palabra,,Vals,Carlos Vidal,Víctor,45rpm,60-1120,82474,Juan J. Guichandut; Horacio Sanguinetti,Horacio Sanguinetti,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/14/1946,Tropical,,Tango,instrumental,Víctor,45rpm,60-1120,82475,Domingo S. Federico,,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,12/3/1946,Con Alma De Tango,,Tango,Oscar Larroca,Víctor,45rpm,60-1147,82516,Juan D'Arienzo,Carlos Waiss,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,12/3/1946,Te Espero en Rodríguez Peña,,Tango,Oscar Larroca,Víctor,45rpm,60-1147,82517,Héctor Varela,Carlos Waiss,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,1/31/1947,Mar,,Tango,Carlos Vidal,Víctor,45rpm,60-1224,83260,Alberto Suárez Villanueva; Oscar Rubens,Oscar Rubens,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,1/31/1947,Quisiera Pedirle a Dios,,Milonga,Carlos Vidal,Víctor,45rpm,60-1224,83259,Francisco Tróppoli; Carlos Bahr,Carlos Bahr,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/18/1947,La Mazorquera de Montserrat,,Tango,Carlos Vidal,Víctor,45rpm,60-1280,83364,Enrique Maciel,Héctor Pedro Blomberg,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/18/1947,Memorias,,Tango,instrumental,Víctor,45rpm,60-1280,83365,José Luis Padula,,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/30/1947,Bajo Tierra,,Tango,Carlos Vidal y Oscar Larroca,Víctor,45rpm,60-1345,83467,Anselmo Aieta,Francisco García Jiménez,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/30/1947,Mi Dolor,,Tango,Oscar Larroca,Víctor,45rpm,60-1345,83466,Carlos Marcucci,Manuel Andrés Meaños,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,6/4/1947,Flores Del Alma,,Vals,Carlos Vidal y Oscar Larroca,Víctor,45rpm,60-1347,83470,Juan Larenza,Lito Bayardo; Alfredo Lucero Palacios,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,6/4/1947,Yo También Reí,,Tango,Carlos Vidal,Víctor,45rpm,60-1347,83471,Carlos Cubria; Héctor Gentile,José Rótulo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/1/1947,Mi Moro,,Tango,Carlos Vidal,Víctor,45rpm,60-1365,83515,Carlos Gardel; José Razzano,Cátulo Castillo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/1/1947,Se Lo Conté al Bandoneón,,Tango,Oscar Larroca,Víctor,45rpm,60-1365,83514,Carlos Bahr; Francisco Tróppoli,Carlos Bahr,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,10/22/1947,Mamá Llévame Pa'l Pueblo,Mama Iévame P'al Pueblo,Tango,Carlos Vidal,Víctor,45rpm,60-1472,83711,Agustín Magaldi; Arturo Lorruso; P. Noda,Arturo Lorusso,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,10/22/1947,Me Gusta un Tango Así,,Tango,Oscar Larroca,Víctor,45rpm,60-1472,83710,Víctor Braña,Enrique Gaudino,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/14/1947,Al Compás Del Corazón,Late un Corazón,Tango,Carlos Vidal,Víctor,45rpm,60-1492-B,83755,Domingo S. Federico,Homero Expósito,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/14/1947,El Adiós de Gabino Ezeiza,,Milonga,Oscar Larroca,Víctor,45rpm,60-1492-A,83754,Enrique Maciel,Héctor Pedro Blomberg,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,3/5/1948,Cosas del Amor,,Tango,Carlos Vidal y Oscar Larroca,Víctor,45rpm,60-1559,83850,Domingo Federico; Carlos Bahr,Carlos Bahr,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,3/5/1948,Escarcha,,Tango,Carlos Vidal y Oscar Larroca,Víctor,45rpm,60-1559,83851,Teófilo Lespes; Yaraví,Yaraví,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/30/1948,Colorado el 32,,Tango,instrumental,Víctor,45rpm,60-1696,91087,Víctor Braña; Mario Brugni,Víctor Braña,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/30/1948,Para Usted Amigo,,Tango,Oscar Larroca,Víctor,45rpm,60-1695,91085,Domingo S. Federico; Francisco Federico,"Francisco Federico, Domingo Federico",,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/30/1948,Recuerdo,,Tango,instrumental,Víctor,45rpm,60-1696,91084,Osvaldo Pugliese,Eduardo Moreno,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/30/1948,Recuérdame,,Tango,Carlos Vidal,Víctor,45rpm,60-1695,91086,Carlos Marchisio; Suembaldo Bontempi,Mario Bontempi,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/15/1949,Candombe,,Candombe,Armando Moreno,RCA Víctor,78rpm,63-0302,S 00943,Francisco Canaro,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,10/14/1949,Con el Mayor Gusto,,Tango,instrumental,Víctor,45rpm,60-1856-A,91432,Domingo S. Federico; Francisco Federico,Santiago Adamini,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,10/14/1949,Justo el 31,,Tango,Mario Bustos,Víctor,45rpm,60-1856-B,91433,Enrique Santos Discépolo,Enrique Santos Discépolo; Ray Rada,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/16/1949,China de la Mazorca,La China de la Mazorca,Milonga,Enzo Valentino,Víctor,45rpm,63-0151-B,91460,Héctor Pedro Blomberg; Enrique Maciel,Héctor Blomberg,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/16/1949,Qué Camine Sola,Maldición,Tango,Hugo Roca,Víctor,45rpm,63-0151-A,91461,Cristóbal Ramos,Francisco del Val,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/25/1949,La Milonga de Mi Amor,,Milonga,Hugo Roca,Víctor,45rpm,60-1878,91476,Héctor Canziani; Rodolfo Sciammarella,Héctor Canziani,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/25/1949,Puente Alsina,,Tango,Mario Bustos,Víctor,45rpm,60-1878,91477,Benjamin Tagle Lara,Benjamin Tagle Lara,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,3/20/1950,Recuerdos de una Madre,,Vals,Enzo Valentino,Víctor,45rpm,60-1927-B,91596,Enzo Valentino; Juan P. López,Juan López,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,3/20/1950,Tango Argentino,,Tango,Mario Bustos,Víctor,45rpm,60-1927-A,91595,Juan Maglio,Alfredo Bigeschi,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,3/23/1950,Canto,,Tango,Hugo Roca,Víctor,45rpm,60-1929,91599,Mario Z. Battistella,Mario Battistella,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,3/23/1950,Tiburón,,Tango,Mario Bustos,Víctor,45rpm,60-1929,91600,Julio Pollero,Enrique Dizeo,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/29/1950,El Amanecer,,Tango,instrumental,Víctor,45rpm,60-1968,93731,Roberto Firpo,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/29/1950,El Termómetro,,Tango,instrumental,Víctor,45rpm,60-1968,93730,José Martínez,,,49-56 / Other singers,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
