Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Disk,Matrix,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Domingo Federico,Orquesta Domingo Federico,1962,Vos Y Yo Corazón,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Luis Stazo,Federico Silva,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1962,Y No Llores Más,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Santiago Adamini; J. Calderón,Santiago Adamini,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1962,Ya No Vale la Pena,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Roberto Giménez; Angel Mayo,Roberto Giménez,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Al Compás de Tu Mentira,,Tango,Rubén Sánchez,Víctor,Tape,,,Rodolfo Sciammarella,Héctor Canziani,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Carta Brava,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Rosita Quiroga,Celedonio Flores,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Cualquier Cosa,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Herminia Velich,Juan Miguel Velich,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Cómo Nos Cambian los Años,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Armando Baliotti; Santiago Damini,Santiago Adamini,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,El Sueño Del Pibe,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Juan Puey,Reinaldo Yiso,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Frente A Una Copa,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Francisco Amor,Santiago Elías Wainer,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,La Casa Vacía,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Arturo Gallucci,Julio Jorge Nelson; Reinaldo Yiso,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,La Culpa Es Tuya,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Adolfo Avilés; Domenech,Andrés Domenech,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Motivo Sentimental,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Emilio J. Brameri,Carlos Bahr,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Vos Y Yo Corazón,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Luis Stazo,Federico Silva,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Y No Llores Más,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Santiago Adamini; J. Calderón,Santiago Adamini,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Ya No Vale la Pena,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Roberto Giménez; Angel Mayo,Roberto Giménez,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
