Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Ricardo Malerba,Orquesta Ricardo Malerba,1943-08-10,Magdalena,,Tango,Orlando Medina,Odeón,,13011,5557-A,Luis Caruso,Luis Caruso,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1943-08-16,Charamusca,,Tango,Instrumental,Odeón,,13047,5557-B,Francisco Canaro,,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1943-11-08,A Bailar,,Tango,Orlando Medina,Odeón,,13342,5558-B,Domingo Federico,Homero Expósito,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1943-11-08,Mi Taza de Café,,Tango,Orlando Medina,Odeón,,13343,5558-A,Alfredo Malerba,Homero Manzi,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1944-03-16,Sollozos,,Tango,Instrumental,Odeón,,13634,5560-B,Osvaldo Fresedo,Emilio Fresedo,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1944-03-16,Violín,,Tango,Orlando Medina,Odeón,,13635,5559-B,"Ricardo Malerba, Dante Smurra",Horacio Sanguinetti,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1944-03-23,Guardia Vieja,,Tango,Instrumental,Odeón,,13647,5559-A,Julio De Caro,José De Grandis,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1944-04-18,Tres Amigos,,Tango,Orlando Medina,Odeón,,13705,5560-A,Enrique Cadícamo,Enrique Cadícamo,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1944-06-30,Amor con Amor Se Paga,,Milonga,Orlando Medina,Odeón,,13911,5561-B,Rodolfo Sciammarella,"Rodolfo Sciammarella, Carlos Petit",,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1944-06-30,Triste Revelación,,Tango,Orlando Medina,Odeón,,13910,5561-A,Nicolás Vaccaro,Conrado D'Aiello,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1944-09-08,Media Noche,Medianoche,Tango,Antonio Maida,Odeón,,14084,5562-B,Aníbal Troilo,Héctor Gagliardi,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1944-09-08,Palais de Glace,Palacio de Hielo,Tango,Orlando Medina,Odeón,,14085,5562-A,Enrique Cadícamo,Enrique Cadícamo,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1944-10-16,Encuentro,,Tango,Antonio Maida,Odeón,,14161,5563-B,Miguel Bucino,Miguel Bucino,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1944-10-16,Una Copa Más,,Tango,Antonio Maida,Odeón,,14162,5563-A,"Fidel Pintos, Manuel Flores",Carlos Bahr,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1945-04-04,Pasado Florido,,Tango,Antonio Maida,Odeón,,14530,5564-B,Enrique Cadícamo,Enrique Cadícamo,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1945-04-04,Siglo Veinte,Siglo 20,Tango,Antonio Maida,Odeón,,14531,5564-A,César De Pardo,José García,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1957,Bailarina,,Milonga,Instrumental,Odeón,,16510,15704-B,"Ricardo Malerba, José Di Pilato",J. Di Pilato,,56-58 Tape,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1956-03-16,Historia de un Amor,,Tango,Alberto Sánchez,Odeón,,,33251,Carlos Almarán,Carlos Almarán,,56-58 Tape,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1956-03-16,Quejas de Montmartre,,Vals,Alberto Sánchez,Odeón,,,33251,"Georges Van Parys, Jean Renoir, Ver. Martínez","Georges Van Parys, Jean Renoir",,56-58 Tape,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1956-06-01,Aristocracia,,Vals,Alberto Sánchez,Odeón,,,33260-B,"Ricardo Malerba, Alfonso Bernava",Manuel Mañueco,,56-58 Tape,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1956-06-01,Oración Peruana,,Tango,Alberto Sánchez,Odeón,,21030,33260-A,José Gomera,"Hubert Ithier, René Denoncin",,56-58 Tape,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1956-09-13,Linda,,Tango,Alberto Sánchez,Odeón,,,33268,Mariano Mores,Pierre Cour,,56-58 Tape,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1956-09-13,Qué Tarde Que Has Venido,,Tango,Alberto Sánchez,Odeón,,,33268,Héctor Varela,Carlos Waiss,,56-58 Tape,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1957-01-07,Taruchito,,Milonga,Instrumental,Odeón,,,33283,"Ricardo Malerba, José Di Pilato",,,56-58 Tape,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1957,Bailarina,,Milonga,Instrumental,Music Hall,,16510,15704-B,"Ricardo Malerba, José Di Pilato",J. Di Pilato,,56-58 Tape,,,,,
Ricardo Malerba,Orquesta Ricardo Malerba,1957,El Preso Número Nueve,El Preso Número 9,Tango,Roberto Soler,Music Hall,,16509,15704-A,"Hermanos Cantoral, García Cantoral","Hermanos Cantoral, García Cantoral",,56-58 Tape,,,,,
