Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Matrix,Disc
Francisco Lomuto,Orquesta Francisco Lomuto,1925,Cantá Corazón,,Tango,Instrumental,Odeón,,Francisco Payá,,,22-25 Acoustic,Erique Lomuto,Manuel Dopaso (Drums),"Pedro Polito, Vicente Romeo, Carmelo Águila (Clarinet)","Luis Martini, Esteban Rovati","Piano, 2 Bandoneons, 2 Violins, Drums, Clarinet",3043,7629
Francisco Lomuto,Orquesta Francisco Lomuto,1925,La Cumparsita,Si Supieras,Tango,Instrumental,Odeón,,Gerardo Hernán Matos Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,22-25 Acoustic,Erique Lomuto,Manuel Dopaso (Drums),"Pedro Polito, Vicente Romeo, Carmelo Águila (Clarinet)","Luis Martini, Esteban Rovati","Piano, 2 Bandoneons, 2 Violins, Drums, Clarinet",3042,7629
Francisco Lomuto,Orquesta Francisco Lomuto,1925,Muchacho,,Tango,Instrumental,Odeón,,Edgardo Felipe Valerio Donato,Celedonio Esteban Flores,,22-25 Acoustic,Erique Lomuto,Manuel Dopaso (Drums),"Pedro Polito, Vicente Romeo, Carmelo Águila (Clarinet)","Luis Martini, Esteban Rovati","Piano, 2 Bandoneons, 2 Violins, Drums, Clarinet",3210,7635
Francisco Lomuto,Orquesta Francisco Lomuto,1926,El Brujo,,Tango,Instrumental,Odeón,,Juan Carlos Bazán,Enrique Carrasquilla Mallarino,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3436,7651
Francisco Lomuto,Orquesta Francisco Lomuto,1926,El Circo se Va,,Tango,Instrumental,Odeón,,Ovidio Catulo González Castillo,José González Castillo,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3561,7652
Francisco Lomuto,Orquesta Francisco Lomuto,1926,Meterete,,Tango,Instrumental,Odeón,,N. Vecchio,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3628,7664
Francisco Lomuto,Orquesta Francisco Lomuto,1926,Pobre Mateo,,Tango,Instrumental,Odeón,,Francisco Nicolás Pracánico,Francisco Bohígas,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3831,7665
Francisco Lomuto,Orquesta Francisco Lomuto,1926,Rulitos,,Tango,Instrumental,Odeón,,Ricardo Luis Brignolo,José González Castillo,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3440,7657
Francisco Lomuto,Orquesta Francisco Lomuto Jazz Band,1926,Yo Te Bendigo,,Tango,Instrumental,Odeón,,Oscar Juan de Dios Filiberti,Juan Andrés Bruno,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3438,7653
Francisco Lomuto,Orquesta Francisco Lomuto,3/23/1927,Mucha Clase,,Tango,Instrumental,Odeón,,Américo Bianchi,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",514,7703
Francisco Lomuto,Orquesta Francisco Lomuto,3/23/1927,Por Dónde Andará,,Tango,Instrumental,Odeón,,Salvador Merico,Atilio Supparo,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",513,7702
Francisco Lomuto,Orquesta Francisco Lomuto,3/23/1927,Rezongos,,Tango,Instrumental,Odeón,,José María Rizzuti,Eduardo Calvo,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",515,7703
Francisco Lomuto,Orquesta Francisco Lomuto,4/8/1927,Amurado,,Tango,Instrumental,Odeón,,"Pedro Blanco Acosta, Pedro Mario Maffia",José De Grandis,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",586,7706
Francisco Lomuto,Orquesta Francisco Lomuto,4/8/1927,Campanita,,Tango,Instrumental,Odeón,,Juan Polito,Salvador Polito,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",590,7704
Francisco Lomuto,Orquesta Francisco Lomuto,4/8/1927,Tocá un Tango,,Tango,Instrumental,Odeón,,Lorenzo Olivari,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",589,7704
Francisco Lomuto,Orquesta Francisco Lomuto,4/30/1927,Corazón de Porteña,,Tango,Instrumental,Odeón,,Juan Baüer,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",686,7710
Francisco Lomuto,Orquesta Francisco Lomuto,4/30/1927,Mariposa,,Tango,Instrumental,Odeón,,José Alberani,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",685,7708
Francisco Lomuto,Orquesta Francisco Lomuto,6/4/1927,De Tardecita,,Tango,Instrumental,Odeón,,Nicolás Messutti,Carlos Álvarez Pintos,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",861,7712
Francisco Lomuto,Orquesta Francisco Lomuto,6/4/1927,Hasta Luego,,Tango,Instrumental,Odeón,,Edgardo Felipe Valerio Donato,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",860,7713
Francisco Lomuto,Orquesta Francisco Lomuto,6/4/1927,La Última Ficha,,Tango,Instrumental,Odeón,,"Joaquín Barreiro, Luis Rolero","Joaquín Barreiro, Luis Rolero",,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",859,7715
Francisco Lomuto,Orquesta Francisco Lomuto,6/4/1927,Porqué Sos Así,,Tango,Instrumental,Odeón,,Manuel García Servetto,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",862,7714
Francisco Lomuto,Orquesta Francisco Lomuto,6/11/1927,Arrorró,arroro,Tango,Instrumental,Odeón,,Juan Baüer,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",904,7715
Francisco Lomuto,Orquesta Francisco Lomuto,6/11/1927,Bacán Fulero,,Tango,Instrumental,Odeón,,Ricardo Luis Brignolo,Alberto Richard,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",907,7716
Francisco Lomuto,Orquesta Francisco Lomuto,6/11/1927,Bichito,,Tango,Instrumental,Odeón,,E. Chaín,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",902,7717
Francisco Lomuto,Orquesta Francisco Lomuto,6/11/1927,Compadrito,,Tango,Instrumental,Odeón,,Carlos Warren,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",903,7712
Francisco Lomuto,Orquesta Francisco Lomuto,6/11/1927,La Mascarita,,Tango,Instrumental,Odeón,,J. V. Rosco o J. B. Rosso,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",901,7716
Francisco Lomuto,Orquesta Francisco Lomuto,6/11/1927,Que Me Importa,,Tango,Instrumental,Odeón,,Carlos Warren,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",905,7713
Francisco Lomuto,Orquesta Francisco Lomuto,7/6/1927,Así Te Quiero,,Tango,Instrumental,Odeón,,Juan B. D’Angelo,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",987,7714
Francisco Lomuto,Orquesta Francisco Lomuto,6/14/1927,Canchero Viejo,no se Acalambre,Tango,Instrumental,Odeón,,Raúl Courau,Víctor Soliño,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",908,7719
Francisco Lomuto,Orquesta Francisco Lomuto,6/14/1927,Era un Budín,,Tango,Instrumental,Odeón,,José Quevedo,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",911,7718
Francisco Lomuto,Orquesta Francisco Lomuto,6/14/1927,Lechuza,,Tango,Instrumental,Odeón,,"Alfredo Navarrine, Julio Plácido Navarrine","Alfredo Navarrine, Julio Plácido Navarrine",,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",909,7719
Francisco Lomuto,Orquesta Francisco Lomuto,6/14/1927,Olvidame Para Siempre,,Tango,Instrumental,Odeón,,A. Bauer de Méndez,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",912,7723
Francisco Lomuto,Orquesta Francisco Lomuto,6/14/1927,Un Buen Consejo,,Tango,Instrumental,Odeón,,Américo Bonani,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",910,7718
Francisco Lomuto,Orquesta Francisco Lomuto,7/6/1927,Purrete De Mi Amor,,Tango,Instrumental,Odeón,,Raúl Joaquín de los Hoyos,Luis Herrera,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",988,7720
Francisco Lomuto,Orquesta Francisco Lomuto,7/6/1927,Ventanita De Arrabal,,Tango,Instrumental,Odeón,,Antonio Scatasso,Pascual Contursi,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",989,7723
Francisco Lomuto,Orquesta Francisco Lomuto,7/16/1927,Muñequita,,Tango,Instrumental,Odeón,,Francisco Juan Lomuto,Adolfo C. Herschel,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1029,7721
Francisco Lomuto,Orquesta Francisco Lomuto,7/16/1927,Zorro Gris,,Tango,Instrumental,Odeón,,Rafael Eulogio Tuegols,Francisco García Jiménez,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1030,7721
Francisco Lomuto,Orquesta Francisco Lomuto,7/16/1927,Chiqué (el Elegante),V1,Tango,Instrumental,Odeón,,Ricardo Luis Brignolo,Ricardo Brignolo,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1031,7722
Francisco Lomuto,Orquesta Francisco Lomuto,7/16/1927,Nunca Más,,Tango,Instrumental,Odeón,,Francisco Juan Lomuto,Pascual Tomás Lomuto,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1032,7722
Francisco Lomuto,Orquesta Francisco Lomuto,7/16/1927,Ojos Negros,Dark Eyes,Tango,Instrumental,Odeón,,Vicente Greco,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1033,7725
Francisco Lomuto,Orquesta Francisco Lomuto,7/25/1927,Entre Sombras,,Tango,Instrumental,Odeón,,Adolfo Rafael Avilés,Enrique Maroni,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1073,7727
Francisco Lomuto,Orquesta Francisco Lomuto,7/25/1927,Virgencita de Arrabal,,Tango,Instrumental,Odeón,,Rodolfo Pascual Sciammarella,Eduardo Béccar,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1072,7727
Francisco Lomuto,Orquesta Francisco Lomuto,8/8/1927,A La Luz Del Candil,A la Luz de un Candíl,Tango,Instrumental,Odeón,,Alejandro Carlos Vicente Geroni,Julio Plácido Navarrine,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1161,7728
Francisco Lomuto,Orquesta Francisco Lomuto,8/8/1927,Cicatrices,,Tango,Instrumental,Odeón,,Adolfo Rafael Avilés,Enrique Pedro Maroni,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1164,7725
Francisco Lomuto,Orquesta Francisco Lomuto,8/8/1927,Pobre Muchacha,,Tango,Instrumental,Odeón,,Francisco Juan Lomuto,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1163,7724
Francisco Lomuto,Orquesta Francisco Lomuto,8/8/1927,Volvé Mi Negra,,Tango,Instrumental,Odeón,,José María Rizzuti,José Gómez,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1162,7728
Francisco Lomuto,Orquesta Francisco Lomuto,8/20/1927,Almita,,Tango,Instrumental,Odeón,,Francisco Juan Lomuto,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1209,7730
Francisco Lomuto,Orquesta Francisco Lomuto,8/20/1927,Cuándo Volverás,,Tango,Instrumental,Odeón,,Pedro Mario Maffia,José Staffolani,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1210,7729
Francisco Lomuto,Orquesta Francisco Lomuto,8/20/1927,Don Juan Malevo,,Tango,Instrumental,Odeón,,Francisco Juan Lomuto,Eduardo Béccar,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1208,7730
Francisco Lomuto,Orquesta Francisco Lomuto,8/20/1927,Fumando Espero,,Tango,Instrumental,Odeón,,Juan Viladomat Masanas,Félix Garzo,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1207,7729
Francisco Lomuto,Orquesta Francisco Lomuto,9/21/1927,Compadrón,,Tango,Instrumental,Odeón,,Luis Nicolás Visca,Enrique Domingo Cadícamo,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1359,7733
Francisco Lomuto,Orquesta Francisco Lomuto,9/21/1927,Don Bernardo,,Tango,Instrumental,Odeón,,P. Buoncristiano,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1356,7732
Francisco Lomuto,Orquesta Francisco Lomuto,9/21/1927,Pura Lata,,Tango,Instrumental,Odeón,,Enrique Blas Lomuto,Carlos Pesce,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1357,7733
Francisco Lomuto,Orquesta Francisco Lomuto,9/21/1927,Íntimas,,Tango,Instrumental,Odeón,,Alfonso Ramiro Lacueva,Ricardo Luis Brignolo,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1358,7736
Francisco Lomuto,Orquesta Francisco Lomuto,10/1/1927,Te Engrupieron,,Tango,Instrumental,Odeón,,Alpidio Fernández,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1433,7732
Francisco Lomuto,Orquesta Francisco Lomuto,10/14/1927,Humos de Ilusión,,Tango,Instrumental,Odeón,,Jaime J. Airaldi,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1513,7734
Francisco Lomuto,Orquesta Francisco Lomuto,10/14/1927,Sangre Azul,,Tango,Instrumental,Odeón,,Fioravanti Di Cicco,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1514,7734
Francisco Lomuto,Orquesta Francisco Lomuto,10/28/1927,Cap Polonio,,Tango,Instrumental,Odeón,,Adolfo Rosquellas,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1646,7738
Francisco Lomuto,Orquesta Francisco Lomuto,10/28/1927,Gil a Rayas,,Tango,Instrumental,Odeón,,"F. C. Cuyot, R. Herraiz","F. C. Cuyot, R. Herraiz",,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1647,7739
Francisco Lomuto,Orquesta Francisco Lomuto,10/28/1927,Pena Maleva,,Tango,Instrumental,Odeón,,Humberto Cristante,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",1644,7737
