Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Armando Pontier,Orquesta Armando Pontier,1/20/1956,Quemá Esas Cartas,,Vals,Roberto Florio,Víctor,,Alberto Cosentino,Juan López,,55-57 Víctor,Ángel Cichetti,Fernando Cabarcos,"Armando Pontier, Nicolás Paracino, Antonio Roscini, Ángel Digiovanni","Alberto del Bagno, José Sarmiento, Ernesto Gianni, Pedro Desret","Piano, Bass, 4 Bandoneons, 4 Violins"
Armando Pontier,Orquesta Armando Pontier,4/13/1956,Repuntando,,Tango,Instrumental,Víctor,,"Juan Salomone, Nicolás Paracino",Juan Salomone,,55-57 Víctor,Ángel Cichetti,Fernando Cabarcos,"Armando Pontier, Nicolás Paracino, Antonio Roscini, Ángel Digiovanni","Alberto del Bagno, José Sarmiento, Ernesto Gianni, Pedro Desret","Piano, Bass, 4 Bandoneons, 4 Violins"
Armando Pontier,Orquesta Armando Pontier,4/13/1956,Tiempos Viejos,Te Acordás Hermano,Tango,Julio Sosa,Víctor,,Francisco Canaro,Manuel Romero,,55-57 Víctor,Ángel Cichetti,Fernando Cabarcos,"Armando Pontier, Nicolás Paracino, Antonio Roscini, Ángel Digiovanni","Alberto del Bagno, José Sarmiento, Ernesto Gianni, Pedro Desret","Piano, Bass, 4 Bandoneons, 4 Violins"
Armando Pontier,Orquesta Armando Pontier,7/31/1956,Dónde Estás Corazón,,Tango,Oscar Ferrari,Víctor,,Augusto Berto,Luis Serrano,,55-57 Víctor,Ángel Cichetti,Fernando Cabarcos,"Armando Pontier, Nicolás Paracino, Antonio Roscini, Ángel Digiovanni","Alberto del Bagno, José Sarmiento, Ernesto Gianni, Pedro Desret","Piano, Bass, 4 Bandoneons, 4 Violins"
Armando Pontier,Orquesta Armando Pontier,7/31/1956,Fuegos Artificiales,,Tango,Instrumental,Víctor,,"Roberto Firpo, Eduardo Arolas",,,55-57 Víctor,Ángel Cichetti,Fernando Cabarcos,"Armando Pontier, Nicolás Paracino, Antonio Roscini, Ángel Digiovanni","Alberto del Bagno, José Sarmiento, Ernesto Gianni, Pedro Desret","Piano, Bass, 4 Bandoneons, 4 Violins"
Armando Pontier,Orquesta Armando Pontier,8/9/1956,Papas Calientes,,Tango,Instrumental,Víctor,,Eduardo Arolas,Héctor Polito,,55-57 Víctor,Ángel Cichetti,Fernando Cabarcos,"Armando Pontier, Nicolás Paracino, Antonio Roscini, Ángel Digiovanni","Alberto del Bagno, José Sarmiento, Ernesto Gianni, Pedro Desret","Piano, Bass, 4 Bandoneons, 4 Violins"
Armando Pontier,Orquesta Armando Pontier,8/15/1956,La Cachila,,Tango,Instrumental,Víctor,,Eduardo Arolas,Héctor Polito,,55-57 Víctor,Ángel Cichetti,Fernando Cabarcos,"Armando Pontier, Nicolás Paracino, Antonio Roscini, Ángel Digiovanni","Alberto del Bagno, José Sarmiento, Ernesto Gianni, Pedro Desret","Piano, Bass, 4 Bandoneons, 4 Violins"
Armando Pontier,Orquesta Armando Pontier,10/17/1956,Buenos Aires,,Tango,Oscar Ferrari,Víctor,,Manuel Jovés,Manuel Romero,,55-57 Víctor,Ángel Cichetti,Fernando Cabarcos,"Armando Pontier, Nicolás Paracino, Antonio Roscini, Ángel Digiovanni","Alberto del Bagno, José Sarmiento, Ernesto Gianni, Pedro Desret","Piano, Bass, 4 Bandoneons, 4 Violins"
Armando Pontier,Orquesta Armando Pontier,10/17/1956,Silbando,,Tango,Julio Sosa,Víctor,,"Cátulo Castillo, Sebastián Piana",José Castillo,,55-57 Víctor,Ángel Cichetti,Fernando Cabarcos,"Armando Pontier, Nicolás Paracino, Antonio Roscini, Ángel Digiovanni","Alberto del Bagno, José Sarmiento, Ernesto Gianni, Pedro Desret","Piano, Bass, 4 Bandoneons, 4 Violins"
Armando Pontier,Orquesta Armando Pontier,1957,El Mismo Final,,Tango,Julio Sosa,Víctor,,Armando Pontier,Federico Silva,,55-57 Víctor,Ángel Cichetti,Fernando Cabarcos,"Armando Pontier, Nicolás Paracino, Antonio Roscini, Ángel Digiovanni","Alberto del Bagno, José Sarmiento, Ernesto Gianni, Pedro Desret","Piano, Bass, 4 Bandoneons, 4 Violins"
