Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Enrique Rodríguez,Orquesta Enrique Rodríguez,10/24/1941,Suerte Loca,,Tango,Armando Moreno,Odeón,,Anselmo Aieta,Francisco Jiménez,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,11/26/1941,Chunga que No Chunga que Sí,Chunga que Sí Chunga que No,Milonga,Armando Moreno,Odeón,,Eusebio Giorno,Arsenio Mármol,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/19/1941,El Morochito,,Tango,Instrumental,Odeón,,Vicente Greco,Gerónimo Gradito,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1/20/1942,El Huérfano,,Tango,Armando Moreno,Odeón,,Anselmo Aieta,Francisco Jiménez,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,2/13/1942,Amigos de Ayer,,Tango,Armando Moreno,Odeón,,Enrique Rodríguez,Enrique Cadícamo,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,3/10/1942,La Canción del Soltero,,Vals,Armando Moreno,Odeón,,Roberto Blanco,Julio Nelson,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,3/31/1942,Un Tropezón,,Tango,Armando Moreno,Odeón,,Raúl Hoyos,Luis Herrera,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,4/22/1942,Carro Viejo,,Tango,Armando Moreno,Odeón,,Fernando Montoni,Máximo Orsi,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,5/13/1942,Los Gitanitos,,Vals,Armando Moreno,Odeón,,José Jiménez,Francisco Velasco,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,5/13/1942,Yo No Sé por Qué Razón,,Tango,Armando Moreno,Odeón,,Carlos Pampillón,Luis Castiñeira,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,6/10/1942,Quién Sos Vos,Decime Quién Sos Vos,Tango,Armando Moreno,Odeón,,"J. Grio, Mario Landi","J. Grio, Mario Landi",,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,7/30/1942,Expresión Campera,,Tango,Instrumental,Odeón,,José Martínez,,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,9/11/1942,Diarios Revistas Señor,,Tango,Armando Moreno,Odeón,,Enrique Rodríguez,Héctor Marcó,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,9/11/1942,Tango Argentino,,Tango,Armando Moreno,Odeón,,Juan Maglio,Alfredo Bigeschi,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,10/22/1942,El Encopao,,Tango,Armando Moreno,Odeón,,Osvaldo Pugliese,Enrique Dizeo,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,11/19/1942,Cómo Has Cambiado Pebeta,,Tango,Armando Moreno,Odeón,,Enrique Rodríguez,"Carlos Goicoechea, Rogelio Cordone",,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/3/1942,Mirame de Frente,,Tango,Armando Moreno,Odeón,,Julián Ortiz,Carlos Fontana,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/3/1942,Solita y Sola,,Vals,Armando Moreno,Odeón,,Roberto Blanco,Julio Nelson,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/3/1942,Yo También Tuve un Cariño,,Tango,Armando Moreno,Odeón,,Enrique Rodríguez,Enrique Cadícamo,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,2/8/1943,Marinero,,Tango,Armando Moreno,Odeón,,Enrique Rodríguez,Enrique Cadícamo,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,2/18/1943,Aquel Silbido,,Tango,Armando Moreno,Odeón,,"Jorge Elizalde, Mario Batistella","Jorge Elizalde, Mario Batistella",,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,2/18/1943,El Tucu-tun,,Milonga,Armando Moreno,Odeón,,Carlos Pampillón,Luis Castiñeira,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,4/16/1943,Adiós Para Siempre,,Tango,Armando Moreno,Odeón,,José Rizzuti,Nolo López,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,4/16/1943,La Rumbita Candombé,Le Negrita Candombe | Rumbita Candombe,Milonga,Armando Moreno,Odeón,,"Osvaldo Novarro, Raúl Fortunato",Mario Battistella,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,5/14/1943,Mi Piba,Mi Piba Linda,Tango,Armando Moreno,Odeón,,Rodolfo Sciammarella,Manuel Romero,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,5/28/1943,No Te Mires en el Río,,Vals,Armando Moreno,Odeón,,Manuel López-Quiroga,Miquel De León,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,6/10/1943,Qué Lento Corre El Tren,,Tango,Armando Moreno,Odeón,,Alfredo De Ángelis,Carmelo Volpe,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,7/2/1943,Por Eso Canto Yo,,Tango,Armando Moreno,Odeón,,Juan Puey,Reinaldo Yiso,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,7/2/1943,Que Lo Sepa el Mundo Entero,,Tango,Armando Moreno,Odeón,,Enrique Rodríguez,Rodolfo Sciammarella,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,8/5/1943,Zumba Zumba,,Vals,Armando Moreno,Odeón,,"Enrique Rodríguez, Carlos Goicochea",Rogelio Cordone,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,8/8/1943,Horas,,Tango,Armando Moreno,Odeón,,Juan Martínez,María Vignolo,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,8/8/1943,Sólo Tú,,Tango,Armando Moreno,Odeón,,Pascual Storti,José Contursi,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,9/20/1943,Ya No Cantás Chingolo,Chingolito,Tango,Armando Moreno,Odeón,,Antonio Scatasso,Edmundo Bianchi,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,10/15/1943,En el Volga Yo Te Espero,,Vals,Armando Moreno,Odeón,,Juan Gorio,Horacio Sanguinetti,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,11/19/1943,Brindis,,Vals,Armando Moreno,Odeón,,Enrique Rodríguez,"Rogelio Cordone, Carlos Goicoechea",,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/10/1943,Iré,,Tango,Armando Moreno,Odeón,,Enrique Rodríguez,Enrique Cadícamo,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/28/1943,Los Muñequitos,San Fernando,Tango,Armando Moreno,Odeón,,Francisco Pracáníco,Oscar Rubens,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,2/8/1944,Jugando a los Novios,,Tango,Armando Moreno,Odeón,,Abraham Averbuj,Carmelo Santiago,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,4/13/1944,Silbando un Tango,,Tango,Armando Moreno,Odeón,,Eladio Blanco,Luis Castiñeira,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,4/13/1944,Uno que Ha Sido Marino,,Vals,Armando Moreno,Odeón,,Enrique Rodríguez,Carlos Díaz,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,6/16/1944,Motivo Sentimental,,Tango,Armando Moreno,Odeón,,Emilio Brameri,Carlos Bahr,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,7/4/1944,Flor de Lis,,Tango,Armando Moreno,Odeón,,Enrique Rodríguez,Horacio Sanguinetti,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,7/20/1944,Mantelito Blanco,,Vals,Armando Moreno,Odeón,,Nicanor Rencoret,Nicanor Rencoret,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,7/20/1944,Rezongando Rezongando,,Tango,Armando Moreno,Odeón,,Roberto Garza,Carlos Bahr,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,8/25/1944,La Vi Llegar,,Tango,Armando Moreno,Odeón,,Enrique Francini,Julián Centeya,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,9/21/1944,Ficha Personal,,Milonga,Armando Moreno,Odeón,,Antonio Polito,Ítalo Gianetti,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,9/21/1944,Naranjo En Flor,,Tango,Armando Moreno,Odeón,,Virgilio Expósito,Homero Expósito,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,10/18/1944,Dicen que Así Soy Yo,,Tango,Armando Moreno,Odeón,,Alberto Villanueva,Evaristo Frattantoni,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,11/28/1944,Tú El Cielo Y Tú,Tú el Cielo y Tú,Tango,Armando Moreno,Odeón,,Mario Canaro,Héctor Marcó,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/27/1944,Argentino Soy,,Tango,Instrumental,Odeón,,Enrique Rodríguez,,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1/18/1945,Cuando Te Hablen del Domingo,,Milonga,Armando Moreno,Odeón,,Julián Ortiz,Luis Mejías,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1/18/1945,Luna Llena,,Tango,Armando Moreno,Odeón,,Mario Perini,Cátulo Castillo,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,2/15/1945,Y Así Nacío Este Tango,Tango Vagabundo,Tango,Armando Moreno,Odeón,,Isaac Garcés,Isusi,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,3/16/1945,Mariquita No Mires al Puerto,,Vals,Armando Moreno,Odeón,,Enrique Rodríguez,Carlos Bahr,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,3/16/1945,Traje de Novia,,Tango,Armando Moreno,Odeón,,Antonio Varela,Mariano De La Torre,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,4/27/1945,Adiós Muchachos,,Tango,Armando Moreno,Odeón,,Julio Sanders,"César Vedani, Carol Raven",,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,5/30/1945,Soledad La De Barracas,,Tango,Armando Moreno,Odeón,,Roberto Garza,Carlos Bahr,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,6/17/1945,Yo Soy Siempre el Mismo,,Tango,Armando Moreno,Odeón,,Julio Navarrine,Antonio Ciaccio,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,7/11/1945,Cordón De Oro,,Tango,Instrumental,Odeón,,Carlos Posadas,José Fernández,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,8/22/1945,Anselmo Laguna,,Tango,Armando Moreno,Odeón,,Vicente Salerno,Marvil,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,9/25/1945,Giusepe el Zapatero,Yusepe el Zuapatero / Giuseppe el Zapatero,Tango,Armando Moreno,Odeón,,Guillermo Del Ciancio,Guillermo Del Ciancio,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,9/25/1945,Llora Corazón,,Vals,Armando Moreno,Odeón,,Horacio Pettorossi,Horacio Pettorossi,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,10/24/1945,Caballero de la Luna,,Vals,Armando Moreno,Odeón,,Georges Krier,Georges Krier,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,10/24/1945,Tu Íntimo Secreto,,Tango,Armando Moreno,Odeón,,Graciano Gómez,Héctor Marcó,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,11/29/1945,Este Es Tu Tango,,Tango,Armando Moreno,Odeón,,Enrique Mora,Reinaldo Yiso,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/26/1945,El Africano,,Tango,Instrumental,Odeón,,Eduardo Pereyra,Francisco Lío,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/26/1945,En Un Pueblito De España,In a Little Spanish Town,Vals,Armando Moreno,Odeón,,Mabel Wayne,"Joseph Young, Samuel Lewis",,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1/9/1946,Café,,Tango,Armando Moreno,Odeón,,Enrique Rodríguez,Horacio Sanguinetti,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1/9/1946,La Carta Perdida,,Tango,Armando Moreno,Odeón,,Alfredo Zappettini,Carlos Bahr,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1/9/1946,Mariposa,,Vals,Armando Moreno,Odeón,,Víctor Lambertucci,Victor Lambertucci,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,3/22/1946,A las Tres de la Mañana,,Vals,Instrumental,Odeón,,Julián Robledo,Alfredo Pelaia,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,3/22/1946,Zorro Gris,,Tango,Instrumental,Odeón,,Rafael Tuegols,Francisco Jiménez,,41-46 Moreno,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,4/25/1946,La Casita Está Triste,,Tango,Fernando Reyes,Odeón,,Luis Bernstein,José De Grandis,,46-52 Reyes + Herrera,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,5/22/1946,Alma En Pena,,Tango,Fernando Reyes,Odeón,,Anselmo Aieta,Francisco Jiménez,,46-52 Reyes + Herrera,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,5/22/1946,Juan Palomo,,Milonga,Ricardo Herrera y Fernando Reyes,Odeón,,Enrique Rodríguez,"Carlos Goicoechea, Rogelio Cordone",,46-52 Reyes + Herrera,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,6/21/1946,Fea,,Tango,Fernando Reyes,Odeón,,Horacio Pettorossi,Alfredo Navarrine,,46-52 Reyes + Herrera,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,6/21/1946,Mecha,,Vals,Ricardo Herrera y Fernando Reyes,Odeón,,Enrique Rodríguez,"Gerónimo Massa, Ismael Aguilar",,46-52 Reyes + Herrera,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,7/31/1946,Vida Triste,,Tango,Ricardo Herrera y Fernando Reyes,Odeón,,"José Servidio, Luis Servidio",Alfredo Roldán,,46-52 Reyes + Herrera,,,,,
